Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
2073050,24-Jul-21,Tennessee,Nashville,4000 block of Scotwood Dr,1,0,N/A
2074453,24-Jul-21,Mississippi,Amory,N/A,1,0,N/A
2075001,23-Jul-21,Nebraska,Beatrice,US-77,1,0,N/A
2072912,23-Jul-21,Texas,Dallas,300 block of South Storey St,1,0,N/A
2071018,21-Jul-21,Wisconsin,Eau Claire,2800 block of Terry Ln,1,0,N/A
2068820,20-Jul-21,Texas,San Antonio,8611 Waters Edge Dr,1,1,N/A
2070859,20-Jul-21,Kansas,Wichita,550 N Nims St,1,0,N/A
2067698,18-Jul-21,Tennessee,Westmoreland,Fairfield Rd,1,0,N/A
2066378,18-Jul-21,Texas,Lufkin,100 block of Deer Trace Cir,1,0,N/A
2066733,18-Jul-21,Arizona,Phoenix,17th St and McDowell Rd,1,0,N/A
2065625,17-Jul-21,Utah,West Jordan,5208 W Cyclamen Way,1,0,N/A
2067771,17-Jul-21,Mississippi,Hickory,MS-503,1,0,N/A
2065125,16-Jul-21,Pennsylvania,Scranton (Dunmore),400 block of William St,1,0,N/A
2064549,15-Jul-21,Texas,Athens,3800 block of Oakridge Estates Rd,1,0,N/A
2070938,15-Jul-21,Mississippi,Corinth,N/A,1,0,N/A
2062831,13-Jul-21,Ohio,Maple Heights,19700 block of Maple Heights Blvd,1,0,N/A
2061324,12-Jul-21,Tennessee,Memphis,5587 Berryman Dr,1,0,N/A
2060546,11-Jul-21,Kansas,Newton,900 block of S Walnut St,1,0,N/A
2059286,9-Jul-21,Utah,Heber City,2790 N Commons Blvd,1,0,N/A
2058232,9-Jul-21,Oklahoma,Sayre,100 block of W Main St,1,0,N/A
2057278,8-Jul-21,California,Tulare,Gemini St,1,0,N/A
2057472,8-Jul-21,Mississippi,Jackson,Coronet Pl and Cummins St,1,0,N/A
2056068,7-Jul-21,West Virginia,Clarksburg,N 1st St,1,0,N/A
2055926,7-Jul-21,Tennessee,Goodlettsville,100 block of Elizabeth Ct,1,0,N/A
2055374,6-Jul-21,Colorado,Manitou Springs,141 Manitou Ave,1,0,N/A
2055057,6-Jul-21,Virginia,Halifax,5100 block of Halifax Rd,1,0,N/A
2056708,6-Jul-21,Texas,Richmond,1930 Rocky Falls,1,0,N/A
2053921,5-Jul-21,Kansas,Lenexa,12445 W 97th Ter,1,0,N/A
